NUANO,NUVOLUME,NUTRAMITE,FLTIPOPROCESSO,CDTIPOPARECER,CDMOTIVOTRAMI,FLPARECERASSINADO,FLTRAMIASSINADA,FLULTIMO,FLSITUACAO,FLSIGILOSO,FLPERMITERECUSA,FLBLOQUEIATRAMI,CDORGAOORIGEM,CDORGAOTRAMI
2013,1,2,F,4,,,,S,A,N,S,0,1537,7
2013,1,5,F,,,,,S,E,N,S,0,1,1875
2012,0,4,C,,,,,,,N,S,0,1018,1
2012,1,1,F,,,,,S,E,N,,0,,1099
2008,1,11,F,,,,,S,E,N,S,0,27,50
2007,1,6,F,4,,,,S,A,N,S,0,7,50
2008,1,18,F,,,,,N,R,N,S,0,27,50
2015,1,3,F,4,,,,S,A,N,S,0,1537,7
2008,1,27,F,4,,,,S,A,N,S,0,27,50
2012,1,3,F,,,,,S,E,N,S,0,154,2808
2015,0,2,C,,,,,,,N,S,0,7,5307
2008,1,2,F,4,,,,S,A,N,S,0,7,1
2013,0,2,L,,,,,,,N,S,0,7,2002
2008,1,238,F,4,,,,N,Q,N,S,0,2,2002
2012,1,2,F,,,,,S,E,N,S,0,1,1539
2012,0,10,C,,,,,,,N,S,0,1875,1
2012,0,8,C,,,,,,,N,S,0,433,1
2012,0,5,L,,,,,,,N,S,0,51,2002
2016,0,2,L,,,,,,,N,S,0,10,53
2018,0,3,L,,,,,,,N,S,0,50,201
2018,0,3,L,,,,,,,N,S,0,2012,201
2013,1,15,F,4,,,,S,Q,N,S,0,5931,1
2008,1,15,F,4,,,,N,A,N,S,0,2002,51
2012,0,3,L,,,,,,,N,S,0,1537,1558
2016,0,14,L,,,,,,,N,S,0,2,93
2016,0,8,L,,,,,,,N,S,0,2012,201
2012,0,8,L,,,,,,,N,S,0,27,2008
2015,0,1,L,,,,,,,N,,0,,10
2017,0,2,L,,,,,,,N,S,0,2008,2004
2013,1,13,F,4,,,,S,A,N,S,0,51,5901
2013,0,5,L,4,,,,,,N,S,0,27,50
2012,0,2,L,,,,,,,N,S,0,1069,1063
2012,1,24,F,,,,,N,Q,N,S,0,633,2002
2012,2,23,F,,,,,S,Q,N,S,0,633,2002
2012,0,6,C,,,,,,,N,S,0,7,1
2009,1,2,F,4,,,,S,A,N,S,0,7,1006
2012,0,2,L,,,,,,,N,S,0,1069,1006
2009,1,2,F,,,,,S,E,N,S,0,7,1875
2009,1,158,F,,,,,N,R,N,S,0,633,2002
2012,0,3,L,,,,,,,N,S,0,27,7
2012,0,3,L,4,,,,,,N,S,0,1,7
2009,1,253,F,4,,,,N,Q,N,S,0,633,2002
2012,1,11,F,,,,,S,Q,N,S,0,51,5901
2012,0,2,C,,,,,,,N,S,0,7,61
2015,1,184,F,,,,,N,R,N,S,0,51,2002
2013,0,4,L,4,,,,,,N,S,0,51,1006
2013,1,4,F,,,,,S,A,N,S,0,7,7
2012,1,5,F,4,,,,S,A,N,S,0,61,1
2012,0,2,C,,,,,,,N,S,0,1,2
2012,0,3,L,,,,,,,N,S,0,1539,7
2013,1,8,F,4,,,,S,A,N,S,0,53,93
2010,1,4,F,4,,,,S,A,N,S,0,1,50
2014,1,7,F,4,,,,S,A,N,S,0,92,93
2014,0,4,L,,,,,,,N,S,0,10,53
2010,1,6,F,,,,,S,R,N,S,0,7,50
2010,3,287,F,4,,,,N,Q,N,S,0,51,2002
2010,1,117,F,,,,,N,R,N,S,0,633,2002
2013,0,2,L,4,,,,,,N,S,0,7,27
2010,1,2,F,4,,,,S,A,N,S,0,7,8
2012,0,7,L,,,,,,,N,S,0,1986,7
2015,0,3,L,,,,,,,N,S,0,1986,7
2015,0,7,L,,,,,,,N,S,0,27,50
2013,1,5,F,4,,,,S,A,N,S,0,1539,1
2010,1,93,F,4,,,,N,Q,N,S,0,633,2002
2012,0,4,L,,,,,,,N,S,0,2008,2004
2015,0,15,L,,,,,,,N,S,0,633,50
2010,1,1,F,4,,N,N,S,A,N,S,0,,7
2015,0,6,L,,,,,,,N,S,0,3,7
2012,1,7,F,4,,,,S,A,N,S,0,,1
2010,1,2,F,,,,,S,E,N,S,0,7,52
2015,0,2,L,,,,,,,N,S,0,50,27
2013,0,2,L,,,,,,,N,S,0,1,2
2013,1,5,F,4,,,,S,A,N,S,0,7,27
2014,1,4,F,,,,,S,E,N,S,0,7,498
2012,0,6,L,4,,,,,,N,S,0,1539,1
2012,0,23,L,,,,,,,N,S,0,7,53
2013,0,3,L,,,,,,,N,S,0,51,5895
2013,0,2,C,,,,,,,N,S,0,1539,1017
2010,1,3,F,4,,,,S,A,N,S,0,51,2002
2012,0,8,L,,,,,,,N,S,0,7,1875
2010,1,4,F,4,,,,S,Q,N,S,0,7,1
2013,0,5,L,,,,,,,N,S,0,10,35
2013,0,1,C,4,,,,,,N,,0,,1539
2013,0,8,L,,,,,,,N,S,0,27,10
2010,1,3,F,4,,,,S,A,N,S,0,1,51
2012,1,25,F,,,,,S,E,N,S,0,7,53
2015,0,2,C,,,,,,,N,S,0,7,257
2012,1,10,F,,,,,S,R,N,S,0,27,2012
2013,0,8,L,,,,,,,N,S,0,50,2006
2018,0,2,L,,,,,,,N,S,0,7,6029
2018,0,5,L,,,,,,,N,S,0,2012,2004
2018,1,3,F,,,,,S,E,N,S,0,,608
2012,0,7,L,4,,,,,,N,S,0,2004,50
2011,1,5,F,4,,,,S,A,N,S,0,1069,432
2012,0,3,C,,,,,,,N,S,0,61,1
2012,1,6,F,4,,,,S,A,N,S,0,1539,1
2012,1,7,F,4,,,,S,A,N,S,0,2,93
2015,1,10,F,4,,,,S,Q,N,S,0,5901,1006
2011,1,9,F,4,,,,S,A,N,S,0,51,5901
2012,1,6,F,4,,,,S,A,N,S,0,1875,8
2015,0,13,L,,,,,,,N,S,0,1996,93
2012,1,2,F,4,,,,S,A,N,S,0,7,52
2012,1,2,F,,,,,S,E,N,S,0,7,498
2012,0,3,L,,,,,,,N,S,0,50,2004
2013,0,4,L,,,,,,,N,S,0,50,27
2012,1,2,F,4,,,,S,A,N,S,0,7,83
2017,0,1,L,,,,,,,N,,0,,2008
2012,0,3,L,,,,,,,N,S,0,1771,1
2012,1,4,F,4,,,,S,A,N,S,0,213,1539
2012,1,2,F,4,,,,S,A,N,S,0,1,61
2012,1,2,F,,,,,S,Q,N,S,0,,1539
2012,1,4,F,,,,,S,E,N,S,0,7,1
