NUANO,NUVOLUME,NUTRAMITE,FLTIPOPROCESSO,CDTIPOPARECER,CDMOTIVOTRAMI,FLPARECERASSINADO,FLTRAMIASSINADA,FLULTIMO,FLSITUACAO,FLSIGILOSO,FLPERMITERECUSA,FLBLOQUEIATRAMI,CDORGAOORIGEM,CDORGAOTRAMI
2016,0,21,L,,,,,,,N,S,0,1788,7
2016,1,16,F,,,,,S,A,N,S,0,2,93
2016,0,5,L,,,,,,,,S,0,1835,51
2016,0,15,L,,,,,,,N,S,0,1996,93
2016,0,34,L,,,,,,,N,S,0,2002,5901
2016,0,2,L,,,,,,,,S,0,10,51
2016,0,4,L,,,,,,,N,S,0,2,93
2016,0,4,L,,,,,,,N,S,0,1793,50
2016,0,7,L,,,,,,,N,S,0,2006,50
2016,1,7,F,4,,,,S,Q,N,S,0,7,608
2016,0,38,L,,,,,,,N,S,0,2002,51
2016,0,4,L,,,,,,,N,S,0,1537,61
2014,1,18,F,4,,,,S,Q,N,S,0,3,7
2015,1,14,F,,,,,S,R,N,S,0,201,1537
2016,1,10,F,,,,,S,R,N,S,0,2012,201
2016,1,7,F,,,,,S,A,N,S,0,51,2002
2016,1,5,F,,,,,S,E,N,S,0,1996,589
2016,1,10,F,4,,,,S,A,N,S,0,6027,7
2017,0,4,L,,,,,,,N,S,0,201,50
2016,0,36,L,,,,,,,N,S,0,633,1996
2016,1,10,F,,,,,S,E,N,S,0,27,50
2012,15,1524,F,,,,,N,R,N,S,0,2,2002
2016,1,11,F,4,,,,S,Q,N,S,0,201,50
2016,1,4,F,4,,,,S,A,N,S,0,1,1996
2016,0,3,L,,,,,,,N,S,0,51,2014
2016,0,5,L,,,,,,,N,S,0,2,7
2016,0,2,L,,,,,,,N,S,0,7,59
2016,0,2,L,,,,,,,N,S,0,2012,10
2016,0,4,L,,,,,,,N,S,0,1537,2002
2016,0,5,L,,,,,,,N,S,0,1786,7
2016,0,3,L,,,,,,,N,S,0,608,6029
2012,16,1518,F,,,,,N,R,N,S,0,2,2002
2016,0,66,L,,,,,,,N,S,0,2002,5901
2016,1,10,F,4,,,,S,A,N,S,0,6027,2002
2016,0,3,C,,,,,,,N,S,0,608,5307
2016,1,11,F,4,,,,S,A,N,S,0,2,27
2016,1,3,F,,,,,S,E,N,S,0,1537,1539
2016,0,7,C,,,,,,,N,S,0,6029,50
2016,0,11,L,,,,,,,N,S,0,1,6027
2016,2,97,F,4,,,,N,A,N,S,0,51,5901
2016,1,17,F,4,,,,S,A,,S,0,7,51
2016,0,6,L,,,,,,,N,S,0,27,2012
2016,1,5,F,4,,,,S,A,N,S,0,6029,50
2016,0,9,L,,,,,,,N,S,0,51,775
2016,1,16,F,,,,,S,Q,N,S,0,6027,2002
2016,2,58,F,4,,,,S,A,N,S,0,51,5901
2016,0,15,L,,,,,,,N,S,0,51,2002
2016,0,10,L,,,,,,,,S,0,5984,51
2016,1,6,F,4,,,,S,A,N,S,0,7,10
2016,0,11,L,,,,,,,N,S,0,2008,2004
2016,0,5,L,,,,,,,N,S,0,1537,6065
2016,1,1,F,,,,,S,E,N,,0,,1788
2016,1,9,F,4,,,,S,A,N,S,0,7,7
2016,0,3,L,,,,,,,,S,0,10,51
2016,0,4,L,,,,,,,N,S,0,7,1793
2016,1,79,F,,,,,S,E,N,S,0,1788,2002
2016,1,9,F,,,,,S,R,N,S,0,201,2012
2016,0,5,L,,,,,,,N,S,0,1537,1788
2016,0,3,L,,,,,,,N,S,0,3,7
2016,0,4,L,,,,,,,N,S,0,51,5893
2016,0,5,L,,,,,,,N,S,0,2004,201
2016,1,11,F,4,,,,S,A,N,S,0,50,2006
2016,0,3,L,,,,,,,N,S,0,6029,5901
2016,1,13,F,,,,,S,Q,N,S,0,1,2002
2016,1,33,F,4,,,,S,Q,N,S,0,2002,5901
2016,1,15,F,4,,,,S,A,N,S,0,1996,93
2016,0,4,L,,,,,,,N,S,0,33,7
2017,1,12,F,,,,,S,E,N,S,0,50,2012
2016,1,16,F,,,,,S,R,N,S,0,2002,61
2015,1,12,F,,,,,S,E,N,S,0,777,6221
2017,0,5,L,,,,,,,N,S,0,5893,92
2017,1,1,F,4,,,,S,A,N,,0,,10
2017,1,15,F,,,,,S,E,N,S,0,27,2012
2017,0,3,L,,,,,,,N,S,0,7,53
2017,0,4,L,,,,,,,N,S,0,1793,50
2017,0,4,L,,,,,,,N,S,0,50,7
2017,1,13,F,,,,,S,E,N,S,0,27,10
2017,0,4,L,,,,,,,N,S,0,776,7
2017,1,6,F,4,,,,S,A,N,S,0,633,50
2017,0,9,L,,,,,,,N,S,0,2,5901
2017,0,3,L,,,,,,,N,S,0,1,1539
2017,0,22,L,,,,,,,N,S,0,5901,93
2017,0,3,L,,,,,,,N,S,0,1017,61
2017,1,41,F,4,,,,S,A,N,S,0,2002,5901
2017,1,5,F,4,,,,S,A,N,S,0,1537,7
2017,0,2,C,,,,,,,N,S,0,7,5307
2017,0,3,L,,,,,,,N,S,0,90,1006
2017,0,3,L,,,,,,,N,S,0,201,2012
2017,0,14,L,,,,,,,N,S,0,2,93
2017,0,2,C,,,,,,,N,S,0,7,5968
2017,1,8,F,,,,,S,E,N,S,0,2008,2004
2017,1,1,F,,,,,S,E,N,,0,,1793
2017,0,4,L,,,,,,,N,S,0,50,1793
2016,1,4,F,4,,,,S,Q,N,S,0,50,2006
2017,0,3,L,,,,,,,N,S,0,1537,51
2017,1,3,F,4,,,,S,A,N,S,0,608,435
2014,1,6,F,4,,,,S,A,N,S,0,7,608
2017,1,13,F,4,,,,S,A,N,S,0,2002,5901
2017,0,2,L,,,,,,,N,S,0,7,83
2017,1,4,F,4,,,,S,A,N,S,0,10,5893
2016,1,1,F,,,,,S,E,N,,0,,93
2017,1,3,F,4,,,,S,A,N,S,0,608,27
2016,0,3,L,,,,,,,,S,0,1788,51
2016,1,16,F,4,,,,S,Q,N,S,0,51,2002
2017,1,8,F,4,,,,S,Q,N,S,0,2,93
2016,0,3,L,,,,,,,N,S,0,50,27
2017,0,3,L,,,,,,,N,S,0,1537,1788
2017,0,2,L,,,,,,,N,S,0,7,51
2017,0,57,L,,,,,,,N,S,0,633,2002
2017,0,3,L,,,,,,,N,S,0,602,7
2017,0,2,L,,,,,,,N,S,0,201,2012
2017,0,5,L,,,,,,,N,S,0,6029,50
2016,0,18,L,,,,,,,N,S,0,1788,2002
2016,0,2,L,,,,,,,N,S,0,7,2
2017,0,4,L,,,,,,,N,S,0,83,92
2017,1,8,F,4,,,,S,A,N,S,0,7,1006
2016,1,3,F,,,,,S,A,N,S,0,1537,2002
2017,0,4,L,,,,,,,N,S,0,7,1017
2017,0,4,L,,,,,,,N,S,0,6027,51
2017,0,6,L,,,,,,,N,S,0,2006,6029
2017,0,6,L,,,,,,,N,S,0,50,2006
2017,0,4,L,,,,,,,N,S,0,7,3
2017,0,9,L,,,,,,,N,S,0,7,1788
2017,0,6,L,,,,,,,,S,0,778,51
2016,1,24,F,,,,,S,A,N,S,0,2002,5901
2017,0,13,L,,,,,,,N,S,0,1537,201
2017,1,2,F,,,,,S,E,N,S,0,10,5893
2017,0,14,L,,,,,,,N,S,0,51,93
2017,0,38,L,,,,,,,N,S,0,51,2002
2017,1,6,F,,,,,S,E,N,S,0,7,608
2017,0,5,L,,,,,,,N,S,0,633,93
2012,12,677,F,,,,,N,E,N,S,0,5901,2002
2017,1,14,F,,,,,S,E,N,S,0,2002,5901
2016,0,6,L,,,,,,,N,S,0,201,2006
2017,0,18,L,,,,,,,N,S,0,2,5901
2017,1,1,F,4,,,,S,A,N,,0,,201
2016,1,7,F,4,,,,S,A,N,S,0,6027,2002
2016,0,4,L,,,,,,,N,S,0,1006,1835
2016,0,12,L,,,,,,,N,S,0,7,51
2012,18,2424,F,,,,,N,R,N,S,0,633,2002
2017,0,22,L,,,,,,,N,S,0,633,2002
2017,1,8,F,4,,,,S,Q,N,S,0,608,7
2017,1,9,F,4,,,,S,A,N,S,0,2,93
2017,0,10,L,,,,,,,N,S,0,2012,50
2016,0,9,L,,,,,,,N,S,0,50,1793
2017,0,8,L,,,,,,,N,S,0,2008,2004
2017,1,12,F,4,,,,S,A,N,S,0,2,93
2017,0,5,L,,,,,,,N,S,0,201,2004
2017,0,46,L,,,,,,,N,S,0,1006,2002
2016,1,9,F,4,,,,S,Q,N,S,0,633,93
2017,0,4,L,,,,,,,N,S,0,608,1881
2017,0,2,L,,,,,,,N,S,0,7,748
2016,0,5,L,,,,,,,N,S,0,777,6221
2016,2,444,F,4,,,,N,A,N,S,0,51,5901
2017,1,7,F,4,,,,S,Q,N,S,0,2018,10
2016,0,3,L,,,,,,,N,S,0,1,5954
2017,0,3,L,,,,,,,N,S,0,608,1308
2016,0,7,L,,,,,,,N,S,0,27,53
2017,0,28,L,,,,,,,N,S,0,51,2002
2017,0,6,L,,,,,,,,S,0,862,51
2017,0,9,L,,,,,,,N,S,0,1006,51
2017,0,11,L,,,,,,,N,S,0,1537,1788
2016,0,6,L,,,,,,,N,S,0,633,50
2017,0,4,L,,,,,,,N,S,0,27,2012
2016,0,3,L,,,,,,,N,S,0,1,27
2017,1,8,F,4,,,,S,A,N,S,0,27,50
2016,2,162,F,4,,,,N,Q,N,S,0,633,2002
2017,0,3,L,,,,,,,N,S,0,50,7
2017,0,7,L,,,,,,,N,S,0,1537,2002
2017,1,14,F,4,,,,S,Q,N,S,0,633,2002
2017,0,5,L,,,,,,,N,S,0,50,2006
2016,1,16,F,4,,,,S,Q,N,S,0,7,50
2017,0,12,L,,,,,,,N,S,0,1,6027
2017,0,3,L,,,,,,,N,S,0,1537,1006
2016,1,20,F,4,,,,S,A,N,S,0,1996,93
2017,1,5,F,4,,,,S,A,N,S,0,60,6085
2017,0,6,L,,,,,,,N,S,0,1006,51
2017,1,8,F,4,,,,S,A,N,S,0,2018,10
2016,2,137,F,4,,,,N,Q,N,S,0,2002,51
2016,1,43,F,,,,,S,R,N,S,0,92,2002
2017,1,51,F,4,,,,S,A,N,S,0,51,5901
2017,1,5,F,,,,,S,E,N,S,0,2012,2004
2017,0,4,L,,,,,,,N,S,0,1537,2012
2016,1,5,F,4,,,,S,A,N,S,0,633,1996
2016,1,2,F,4,,,,S,A,N,S,0,778,50
2017,0,3,L,,,,,,,N,S,0,50,2004
2016,1,141,F,4,,,,N,A,N,S,0,633,2002
2016,1,40,F,,,,,N,E,N,S,0,7,2002
2017,1,10,F,4,,,,S,Q,N,S,0,51,93
2013,3,165,F,4,,,,S,Q,N,S,0,633,2002
2017,0,5,L,,,,,,,N,S,0,2004,50
2017,0,19,L,,,,,,,N,S,0,51,2002
2013,2,249,F,4,,,,N,Q,N,S,0,633,2002
2017,0,12,L,,,,,,,N,S,0,2,5901
2017,0,2,L,,,,,,,N,S,0,7,2014
2016,1,21,F,4,,,,S,A,N,S,0,2002,5901
2017,1,3,F,,,,,S,E,N,S,0,27,2004
2016,1,17,F,,,,,S,R,N,S,0,50,2006
2017,1,7,F,,,,,S,E,N,S,0,1539,7
2017,0,5,L,,,,,,,N,S,0,7,7
2017,0,5,L,,,,,,,N,S,0,2014,2002
2017,0,19,L,,,,,,,N,S,0,633,2002
2017,0,4,L,,,,,,,N,S,0,201,2004
2017,0,3,L,,,,,,,N,S,0,5901,2
2017,0,3,L,,,,,,,N,S,0,32,7
2017,0,4,L,,,,,,,N,S,0,33,1537
2017,0,3,L,,,,,,,N,S,0,1,6027
2017,1,13,F,,,,,S,E,N,S,0,2012,201
2017,1,1,D,4,,,,S,A,N,,0,,60
2015,1,6,F,,,,,S,E,N,S,0,27,201
2017,0,13,L,,,,,,,N,S,0,2,5901
2017,1,8,F,4,,,,S,A,N,S,0,7,1788
2017,1,30,F,4,,,,S,A,N,S,0,633,2002
2017,0,9,L,,,,,,,N,S,0,2008,2004
2017,1,14,F,,,,,S,Q,N,S,0,1788,2002
2017,0,7,L,,,,,,,N,S,0,27,93
2017,0,5,L,,,,,,,,S,0,5893,51
2017,1,19,F,4,,,,S,Q,N,S,0,1996,93
2017,1,6,F,,,,,S,E,N,S,0,1537,2012
2017,0,46,L,,,,,,,N,S,0,633,2002
2016,1,5,F,,,,,S,E,N,S,0,,201
2017,1,2,F,,,,,S,E,N,S,0,7,3
2017,0,44,L,,,,,,,N,S,0,633,2002
2017,1,7,F,4,,,,S,A,N,S,0,1,608
2017,0,5,L,,,,,,,N,S,0,1,7
2017,1,1,F,,,,,S,A,N,,0,,7
2017,1,11,F,4,,,,S,A,N,S,0,53,93
2013,4,557,F,,,,,N,R,N,S,0,6027,2002
2017,1,12,F,,,,,S,E,N,S,0,2012,201
2017,1,4,F,,,,,S,E,N,S,0,,201
2017,1,7,F,,,,,S,E,N,S,0,27,10
2016,3,129,F,4,,,,S,A,N,S,0,5901,2002
2017,0,4,L,,,,,,,N,S,0,1537,10
2017,0,3,L,,,,,,,N,S,0,1539,50
2017,0,7,L,,,,,,,N,S,0,27,10
2017,1,5,F,,,,,S,E,N,S,0,,201
2015,9,398,F,,,,,S,E,N,S,0,6027,243
2017,0,5,L,,,,,,,N,S,0,7,52
2017,0,4,L,,,,,,,N,S,0,1537,1788
2017,1,5,F,,,,,S,R,N,S,0,51,1786
2017,0,9,L,,,,,,,N,S,0,1537,2012
2017,0,19,C,,,,,,,N,S,0,1,1996
2017,0,42,L,,,,,,,N,S,0,51,5901
2014,2,90,F,4,,,,S,Q,N,S,0,51,2002
2017,0,2,L,,,,,,,N,S,0,2012,201
2017,1,9,F,4,,,,S,Q,N,S,0,201,1537
2017,1,36,F,,,,,S,E,N,S,0,7,6029
2017,1,9,F,4,,,,S,A,N,S,0,50,2006
2015,1,5,F,,,,,S,E,N,S,0,201,2012
2017,1,11,F,,,,,S,E,N,S,0,201,2012
2014,1,14,F,,,,,S,E,N,S,0,2012,201
2017,1,5,F,,,,,S,E,N,S,0,2014,6211
2017,0,6,L,,,,,,,N,S,0,50,2008
2017,1,12,F,,,,,S,E,N,S,0,1537,1996
2017,1,11,F,4,,,,S,A,N,S,0,608,1996
2017,0,2,L,,,,,,,N,S,0,7,633
2017,1,3,F,4,6,,,S,A,N,S,0,1006,1835
2015,6,371,F,4,,,,N,Q,N,S,0,5901,51
2017,0,9,L,,,,,,,N,S,0,1788,2002
2017,0,5,L,,,,,,,N,S,0,1537,2002
2017,1,73,F,,,,,N,E,N,S,0,7,2002
2017,0,14,L,,,,,,,N,S,0,1537,1996
2017,0,2,G,,,,,,,N,S,0,27,2012
2017,0,34,L,,,,,,,N,S,0,51,5901
2017,1,2,F,4,,,,S,A,N,S,0,7,2014
2017,1,44,F,4,,,,S,A,N,S,0,633,2002
2014,1,8,F,4,,,,S,A,N,S,0,,201
2017,1,12,F,4,,,,S,A,N,S,0,51,1788
2017,1,3,F,,,,,S,E,N,S,0,50,201
2017,1,35,F,4,,,,S,Q,N,S,0,51,2002
2017,0,2,L,,,,,,,,S,0,1791,51
2017,2,3,F,,,,,S,E,N,S,0,1006,5901
2017,0,12,L,,,,,,,N,S,0,1788,2002
2017,0,7,L,,,,,,,N,S,0,776,7
2017,0,1,L,1,2,,,,,N,,0,,201
2017,0,7,L,,,,,,,N,S,0,6029,50
2017,1,11,F,,,,,S,E,N,S,0,2008,2004
2017,9,80,F,,,,,N,E,N,S,0,51,5901
2017,2,12,F,,,,,S,R,N,S,0,7,1537
2017,0,18,L,,,,,,,N,S,0,50,7
2017,0,12,L,,,,,,,N,S,0,2002,1788
2017,0,10,L,,,,,,,N,S,0,83,5986
2017,0,11,L,,,,,,,N,S,0,776,51
2017,1,9,F,4,,,,S,A,N,S,0,10,5893
2018,1,1,F,,,,,S,E,N,,0,,2004
2017,0,3,L,,,,,,,N,S,0,1,6029
2017,0,2,L,,,,,,,N,S,0,2006,90
2017,0,5,L,,,,,,,N,S,0,1788,6211
2017,1,3,F,4,,,,S,A,N,S,0,1,5893
2017,0,4,L,,,,,,,N,S,0,50,2
2017,1,12,F,4,,,,S,A,N,S,0,2,5901
2017,1,30,F,,,,,N,R,N,S,0,5901,2002
2017,1,11,F,,,,,S,E,N,S,0,1537,1996
2017,1,16,F,,,,,S,E,N,S,0,1,1996
2017,1,3,F,4,,,,S,A,N,S,0,,50
2017,1,2,F,,,,,S,E,N,S,0,,1791
2017,1,15,F,4,,,,S,A,N,S,0,1537,2002
2017,0,7,L,,,,,,,N,S,0,5893,93
2017,0,4,L,,,,,,,N,S,0,3,7
2017,1,21,F,,,,,S,E,N,S,0,51,2002
2017,0,6,L,,,,,,,N,S,0,51,2002
2017,1,4,D,,,,,S,E,N,S,0,27,10
2017,1,9,F,4,,,,S,Q,N,S,0,7,1
2017,0,11,L,,,,,,,N,S,0,33,7
2017,1,14,F,,,,,S,E,N,S,0,1788,2002
2017,0,6,L,,,,,,,,S,0,51,5901
2017,0,4,L,,,,,,,N,S,0,7,230
2017,0,2,L,,,,,,,N,S,0,201,5901
2017,1,49,F,,,,,S,E,N,S,0,92,5901
2017,1,3,F,,,,,S,E,N,S,0,7,1537
2017,1,13,F,4,,,,S,Q,N,S,0,5901,51
2017,1,3,F,4,,,,S,A,N,S,0,1537,7
2017,1,7,F,,,,,S,E,N,S,0,201,2012
2017,0,4,L,,,,,,,N,S,0,7,59
2017,1,3,F,4,,,,S,A,N,S,0,6027,1537
2017,1,2,F,4,,,,S,A,N,S,0,,201
2017,1,10,F,4,,,,S,A,,S,0,51,5895
2017,0,31,L,,,,,,,N,S,0,51,5901
2017,1,4,F,4,,,,S,A,N,S,0,50,201
2017,0,2,C,,,,,,,N,S,0,7,4732
2017,0,9,L,,,,,,,N,S,0,633,2002
2017,0,9,L,,,,,,,N,S,0,2012,50
2017,0,2,L,,,,,,,N,S,0,7,59
2017,1,3,F,,,,,S,E,N,S,0,1006,2128
2017,1,11,F,,,,,S,E,N,S,0,7,2006
2017,5,78,F,,,,,N,E,N,S,0,51,5901
2017,1,16,F,,,,,S,E,N,S,0,2018,10
2017,0,10,L,,,,,,,N,S,0,1788,2002
2017,1,24,F,,,,,S,E,N,S,0,608,1996
2017,0,60,L,,,,,,,N,S,0,2002,633
2018,0,3,L,,,,,,,N,S,0,7,1537
2017,0,2,L,,,,,,,N,S,0,2004,2006
2017,4,4,F,,,,,N,E,N,,0,,1788
2017,0,4,L,,,,,,,N,S,0,1539,7
2017,0,4,L,,,,,,,N,S,0,2006,2004
2017,0,6,L,,,,,,,N,S,0,6029,92
2017,1,2,F,,,,,S,E,N,S,0,10,2018
2017,0,8,L,,,,,,,N,S,0,50,1793
2017,0,2,L,,,,,,,N,S,0,2,201
2017,1,28,F,4,,,,S,A,N,S,0,633,1996
2016,1,13,F,4,,,,S,A,N,S,0,2006,50
2017,1,5,F,4,,,,S,A,N,S,0,51,1006
2014,1,22,F,,,,,S,E,N,S,0,201,2012
2017,0,3,C,,,,,,,N,S,0,608,7
2017,0,14,L,,,,,,,N,S,0,2,5901
2017,0,3,L,,,,,,,N,S,0,1,2002
2015,1,19,F,4,,,,S,Q,N,S,0,6027,2002
2017,0,4,L,,,,,,,N,S,0,1,60
2017,0,27,L,,,,,,,N,S,0,51,2002
2017,1,10,F,,,,,S,A,N,S,0,51,5901
2017,1,206,F,,,,,N,E,N,S,0,92,5901
2017,1,368,F,,,,,N,E,N,S,0,5901,92
2017,0,10,L,,,,,,,,S,0,1006,51
2017,2,91,F,4,,,,S,A,N,S,0,2002,5901
2017,1,4,F,,,,,S,E,N,S,0,,608
2017,0,4,L,1,2,,,,,N,S,0,,7
2017,0,7,L,,,,,,,N,S,0,51,1791
2017,1,20,F,,,,,S,E,N,S,0,1788,2002
2015,3,369,F,4,,,,N,Q,N,S,0,5901,51
2017,0,11,L,,,,,,,N,S,0,50,2006
2017,0,8,L,,,,,,,N,S,0,201,50
2015,1,2,F,4,,,,S,A,N,S,0,,1788
2017,0,3,L,,,,,,,N,S,0,1537,1993
2016,2,40,F,4,,,,S,Q,N,S,0,1006,1996
2017,0,3,L,,,,,,,N,S,0,50,92
2017,1,14,F,4,,,,S,A,N,S,0,27,50
2017,1,7,F,4,,,,S,A,N,S,0,602,7
2017,1,3,F,4,,,,S,A,N,S,0,608,1996
2017,0,5,L,,,,,,,N,S,0,6029,1786
2017,1,12,F,,,,,S,E,N,S,0,53,2012
2017,1,11,F,4,,,,S,A,N,S,0,50,1793
2017,1,5,F,,,,,S,E,N,S,0,1788,6211
2017,1,6,F,4,,,,S,Q,N,S,0,608,7
2017,0,9,L,,,,,,,N,S,0,7,7
2017,0,9,L,,,,,,,N,S,0,201,1537
2017,0,2,L,,,,,,,,S,0,15,51
2017,0,10,L,,,,,,,N,S,0,5901,93
2017,0,7,L,,,,,,,N,S,0,51,2002
2017,2,43,F,,,,,S,R,N,S,0,51,2002
2017,1,4,F,4,,,,S,Q,N,S,0,623,7
2017,1,26,F,,,,,S,E,N,S,0,51,2002
2017,0,4,L,,,,,,,N,S,0,1,1537
2016,2,67,F,4,,,,N,Q,N,S,0,633,2002
2017,0,7,L,,,,,,,N,S,0,5976,6221
2017,0,20,L,,,,,,,N,S,0,1996,93
2017,0,22,L,,,,,,,N,S,0,1996,93
2017,1,8,F,4,,,,S,A,N,S,0,92,93
2017,1,23,F,4,,,,N,A,N,S,0,5902,1996
2017,0,4,L,,,,,,,N,S,0,92,5893
2017,0,4,L,,,,,,,,S,0,87,51
2017,0,2,L,,,,,,,N,S,0,7,93
2017,0,3,L,,,,,,,N,S,0,778,50
2017,1,13,F,,,,,S,E,N,S,0,1537,1788
2017,1,14,F,,,,,S,E,N,S,0,50,201
2017,0,11,L,,,,,,,N,S,0,633,50
2014,1,9,F,,,,,S,E,N,S,0,27,201
2017,1,3,F,,,,,S,E,N,S,0,2012,201
2016,1,7,F,,,,,S,E,N,S,0,201,2012
2017,1,6,F,4,,,,S,A,N,S,0,59,608
2017,1,34,F,4,,,,S,A,N,S,0,633,1996
2014,1,7,F,4,,,,S,A,N,S,0,,201
2017,0,15,L,,,,,,,N,S,0,1788,2002
2017,0,5,L,,,,,,,N,S,0,53,92
2017,1,10,F,,,,,S,E,N,S,0,51,1788
2017,0,3,L,,,,,,,N,S,0,777,6221
2017,1,7,F,4,,,,S,A,N,S,0,776,7
2017,1,26,F,4,,,,S,Q,N,S,0,51,2002
2015,1,28,F,,,,,S,R,N,S,0,50,6029
2017,0,8,L,,,,,,,N,S,0,201,2004
2017,0,20,L,,,,,,,N,S,0,5901,2002
2017,1,41,F,4,,,,S,A,N,S,0,51,5901
2017,1,21,F,4,,,,S,A,N,S,0,1788,2002
2017,0,20,L,,,,,,,N,S,0,7,6027
2016,1,5,F,,,,,S,R,N,S,0,201,2012
2017,1,7,F,4,,,,S,A,N,S,0,7,27
2017,0,8,L,,,,,,,N,S,0,7,7
2017,1,6,F,4,,,,S,A,N,S,0,608,10
2017,1,18,F,4,,,,S,A,N,S,0,2004,2006
2017,0,4,L,,,,,,,N,S,0,1986,608
2015,1,27,F,,,,,S,R,N,S,0,602,7
2017,0,3,L,,,,,,,N,S,0,441,201
2018,0,1,L,,,,,,,N,,0,,60
2016,1,16,F,,,,,S,E,N,S,0,2012,201
2017,0,2,L,,,,,,,N,S,0,51,7
2017,0,3,L,,,,,,,N,S,0,1,10
2017,0,4,L,,,,,,,N,S,0,2014,7
2017,0,3,L,,,,,,,N,S,0,3086,7
2017,1,2,F,4,,,,S,A,N,S,0,,1537
2017,0,7,L,,,,,,,N,S,0,1987,7
2017,1,4,F,4,,,,S,A,N,S,0,50,1793
2017,0,5,L,,,,,,,N,S,0,2,93
2017,0,5,L,,,,,,,N,S,0,5976,7
2017,0,3,C,,,,,,,N,S,0,1539,524
2015,1,14,F,4,,,,S,A,N,S,0,608,1996
2017,1,3,F,,,,,S,E,N,S,0,1,2002
2017,0,7,L,,,,,,,N,S,0,32,7
2017,1,18,F,4,,,,S,Q,N,S,0,1793,50
2017,0,8,L,,,,,,,N,S,0,6222,83
2017,1,14,D,,,,,S,E,N,S,0,51,2002
2012,21,2427,F,,,,,N,E,N,S,0,633,2002
2016,1,11,F,4,,,,S,A,N,S,0,27,93
2017,0,5,L,,,,,,,N,S,0,7,6211
2017,0,11,L,,,,,,,N,S,0,51,93
2017,3,35,F,4,,,,S,R,N,S,0,633,2002
2017,1,8,F,4,,,,S,A,N,S,0,7,6027
2016,1,94,F,,,,,S,R,N,S,0,633,2002
2017,1,21,F,4,,,,S,Q,N,S,0,7,50
2017,0,3,L,,,,,,,N,S,0,1,1987
2017,1,10,F,,,,,S,E,N,S,0,53,5901
2016,1,17,F,4,,,,S,A,N,S,0,1537,2002
2017,0,5,L,,,,,,,N,S,0,5986,608
2017,1,32,F,,,,,N,E,N,S,0,1537,1996
2017,0,6,L,,,,,,,N,S,0,50,7
2014,1,7,F,,,,,S,R,N,S,0,2012,201
2017,1,6,F,,,,,S,E,N,S,0,777,6221
2017,1,6,F,,,,,S,E,,S,0,51,5895
2017,1,3,F,4,,,,S,Q,N,S,0,,50
2016,1,13,F,,,,,S,E,N,S,0,2012,2004
2017,1,6,F,,,,,S,E,N,S,0,2004,50
2018,1,2,F,4,,,,S,A,N,S,0,2004,50
2018,0,7,L,,,,,,,N,S,0,2004,50
2018,1,11,F,,,,,S,E,N,S,0,1537,6029
2017,2,83,F,,,,,S,E,N,S,0,1537,1996
2018,0,9,L,,,,,,,N,S,0,2004,50
2018,1,11,F,,,,,S,R,N,S,0,10,2018
2015,1,6,F,,,,,S,E,N,S,0,1537,2012
2018,1,2,F,4,,,,S,A,N,S,0,,608
2018,0,4,L,,,,,,,N,S,0,608,60
2018,0,1,L,,,,,,,N,,0,,2012
2017,1,17,F,,,,,S,A,N,S,0,633,2002
2018,1,15,F,4,,,,S,A,N,S,0,633,50
2018,0,3,L,,,,,,,N,S,0,1,608
2018,0,1,L,,,,,,,N,,0,,10
2017,1,10,F,,,,,S,E,N,S,0,633,50
2017,1,5,F,4,,,,S,Q,N,S,0,33,7
2018,1,7,F,,,,,S,E,N,S,0,7,50
2018,1,14,F,,,,,S,E,N,S,0,1537,10
2018,0,12,L,,,,,,,N,S,0,7,2002
2018,0,6,L,,,,,,,N,S,0,5893,93
2017,0,3,C,,,,,,,N,S,0,6027,229
2017,1,11,F,4,,,,S,Q,N,S,0,51,93
2018,0,8,L,,,,,,,N,S,0,92,93
2018,0,23,L,,,,,,,N,S,0,633,2002
2015,10,366,F,4,,,,S,A,N,S,0,5901,51
2018,1,4,F,,,,,S,R,N,S,0,7,498
2018,1,6,F,,,,,S,E,N,S,0,7,5221
2017,0,8,L,,,,,,,N,S,0,2012,50
2017,0,5,L,,,,,,,N,S,0,2012,93
2018,0,3,L,,,,,,,N,S,0,50,2006
2018,1,53,F,,,,,N,R,N,S,0,92,5901
2018,1,4,F,,,,,S,E,N,S,0,10,5893
2016,1,6,F,,,,,S,E,N,S,0,,201
2018,1,6,F,,,,,S,E,N,S,0,1537,2012
2018,0,12,L,,,,,,,,S,0,7,51
2018,0,1,L,,,,,,,N,,0,,5893
2018,1,6,F,4,,,,S,A,N,S,0,2018,10
2018,0,3,L,,,,,,,N,S,0,1537,7
2018,0,2,L,,,,,,,N,S,0,7,52
2018,0,8,L,,,,,,,N,S,0,2012,50
2017,1,17,F,4,,,,S,A,N,S,0,2012,50
2018,0,3,L,,,,,,,N,S,0,50,92
2018,0,3,L,,,,,,,N,S,0,10,53
2018,1,6,F,4,,,,S,A,N,S,0,10,5893
2018,0,5,L,,,,,,,N,S,0,7,2004
2018,1,22,F,4,,,,S,A,N,S,0,633,2002
2018,0,2,L,,,,,,,N,S,0,7,1537
2015,1,8,F,,,,,S,E,N,S,0,1537,2012
2018,1,9,F,,,,,S,E,N,S,0,51,2002
2017,0,12,L,,,,,,,N,S,0,2004,50
2017,1,46,F,4,,,,S,Q,N,S,0,633,2002
