NUANO,FLTIPOPROCESSO,NUTRAMITE,CDASSUNTO,CDTIPOPARECER,CDSETORRESP,CDSETORABERTURA,CDSETORAUTUACAO,CDTIPOPROCESSO,CDUSUARIO,CDSETORORIGEM,CDSETORDESTINO
2018,F,4,2,1,1793,1793,1793,1,SRPATRICIO,7,7
2018,F,9,10,1,7,7,2004,1,SDCARDOSO,2010,2004
2018,F,8,10,1,50,7,2004,1,LJACQUES,50,633
2018,F,6,10,1,50,7,2004,1,EKZAPPELINI,50,2004
2018,F,2,17,1,2006,2006,2006,1,JTRES,2006,7
2018,F,11,80,1,7,7,1788,1,MMANDRADE,7,53
2018,F,9,80,1,7,7,1788,1,RMARTENDAL,1788,7
2018,F,4,23,1,2004,2004,2004,1,AACASTRO,2004,2012
2018,F,4,110,,51,1996,1996,1,JSOUZA,1,1996
2018,F,7,10,1,50,7,2004,1,LJACQUES,50,2004
2018,F,4,10,1,2004,2004,50,1,MTCESCONETO,633,50
2018,F,24,110,1,51,51,51,1,FPGCOSTA,51,1537
2018,F,11,110,1,51,51,51,1,CRODRIGUES,2002,51
2018,F,7,23,,2004,2004,2004,1,SMITHOMAZ,2012,2004
2018,F,4,2,,6230,50,50,1,SRPATRICIO,7,50
2018,F,2,6,1,2010,2010,2010,1,MMDASILVA,2010,1537
2018,F,9,7,1,10,10,10,1,LJACQUES,50,2012
2018,F,6,7,1,10,10,10,1,PPASSOLD,50,10
2018,F,24,97,,6211,51,51,1,NRFERNANDES,2002,92
2018,F,17,97,1,6211,51,51,1,DROGLIO,5901,2002
2018,F,18,97,1,6211,51,51,1,NRFERNANDES,2002,51
2018,F,7,7,,1,7,7,1,LJACQUES,50,2004
2018,F,8,10,1,50,7,2004,1,MMDASILVA,2010,2004
2018,F,5,10,1,50,7,2004,1,SRPATRICIO,7,50
2018,F,3,23,1,6227,2004,6227,1,LJACQUES,50,7
2018,F,3,39,4,1,7,1572,1,SRPATRICIO,1539,7
2018,F,5,44,1,10,10,10,1,EMMFILHO,5893,10
2018,F,3,44,1,10,10,10,1,RCAVANHOLI,5893,10
2018,F,11,17,,2006,2006,2006,1,MIPZIMMERMANN,2006,2004
2018,F,4,17,1,2006,2006,2006,1,MMANDRADE,7,50
2018,F,2,10,1,1,2004,2004,1,VASILVA,2004,2012
2018,F,7,10,4,1,2004,2004,1,MTCESCONETO,633,50
2018,F,2,10,1,1,2004,2004,1,AACASTRO,2004,2012
2018,F,7,17,1,2006,2006,705,1,RRZDASILVA,2006,50
2018,F,3,10,1,1,2004,2004,1,VASILVA,2012,2004
2018,F,11,17,1,2006,2006,1095,1,JTRES,2006,2004
2018,F,10,17,1,2006,2006,1095,1,TMBATISTA,50,2006
2018,F,3,7,1,10,10,10,1,SDMARCOS,633,50
2018,F,7,44,1,10,10,10,1,RCAVANHOLI,5893,10
2018,F,8,44,1,10,10,10,1,MGUEDES,10,5893
2018,F,2,44,1,10,10,10,1,LFUHR,10,2018
2018,F,10,10,1,50,7,2004,1,LJACQUES,2010,50
2018,F,4,10,1,50,7,2004,1,VASILVA,2004,2010
2018,F,11,10,,50,7,2004,1,LJACQUES,50,2004
2018,F,3,7,,10,10,10,1,VOLIVEIRA,2018,10
2018,F,4,96,1,1537,7,7,1,MMANDRADE,7,5984
2018,F,2,6,1,2010,2010,2010,1,MMANDRADE,2010,7
2018,F,4,2,4,50,50,50,1,NELIZA,7,50
2018,F,7,1,1,50,7,50,1,APPEREIRA,6029,7
2018,F,4,1,1,50,7,50,1,LJACQUES,50,6029
2018,F,7,80,1,50,7,50,1,NELIZA,1537,7
2018,F,5,91,1,6227,2002,6227,1,NELIZA,6027,2002
2018,F,8,110,1,51,51,51,1,HVMAZZOLA,51,7
2018,F,24,110,4,51,51,51,1,NELIZA,7,5895
2018,F,23,110,1,51,51,51,1,YCOSTA,5895,7
2018,F,6,110,,51,51,51,1,FPGCOSTA,51,5895
2018,F,9,110,4,51,51,51,1,MCARVALHO,92,93
2018,F,9,89,1,50,7,197,1,ISRICARTE,50,2012
2018,F,4,29,1,1,7,1791,1,JSOUZA,7,7
2018,F,11,10,4,7,7,2004,1,LJACQUES,50,2004
2018,F,11,89,1,50,7,352,1,ILIMA,53,92
2018,F,9,89,1,50,7,352,1,LJACQUES,50,2012
