@relation 'tramitacoes2018_2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-8'

@attribute CDASSUNTO {1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,32,38,39,41,44,49,70,71,73,74,75,77,78,79,80,83,89,91,92,93,94,96,97,98,99,100,101,102,103,105,106,107,108,109,110,111,112,114,115}
@attribute CDSETORRESP {1,2,7,8,10,20,27,32,33,35,39,47,50,51,52,53,60,62,83,90,92,93,141,151,213,229,259,277,284,285,305,348,364,450,756,1006,1078,1103,1286,1308,1397,1417,1537,1538,1539,1540,1541,1575,1786,1788,1791,1793,1844,1875,1876,1881,1978,1996,2002,2004,2006,2008,2010,2012,2014,5743,5885,5930,5982,5994,6027,6028,6029,6080,6083,6097,6211,6214,6215,6216,6221,6224,6227,6230}
@attribute CDSETORABERTURA {3,7,10,27,32,33,50,51,53,60,73,83,84,87,90,92,93,234,613,718,769,775,778,782,990,992,993,997,1006,1026,1061,1065,1072,1095,1205,1235,1249,1561,1786,1788,1791,1793,1835,1844,1875,1996,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2128,5893,5895,5898,5899,5902,6064,6074,6080,6128,6205,6211,6214,6215,6216,6217,6218,6220,6221,6222,6230}
@attribute CDUSUARIO {AACASTRO,VASILVA,MCARVALHO,ACFREITAS,GERSON,VVCOSTA,ISRICARTE,REBSOUZA,FGCRUZ,PVCOSTA,MMANDRADE,SRPATRICIO,MWENTZ,CDSILVA,DDURIEUX,LJACQUES,CFSILVA,MTRICHARTZ,DORIS,JSOUZA,PPASSOLD,EKZAPPELINI,BVIEIRA,AHSANTOS,LCAVALLERI,ACRESPALDI,WBALSAMO,BBRIBEIRO,FPGCOSTA,EDORIGATTI,MTCESCONETO,ESARMENTO,NELIZA,PREMOR,HVMAZZOLA,BBROGNOLI,VOLIVEIRA,VAMARAL,LCSMACHADO,SDCARDOSO,JTRES,RMARTENDAL,CRODRIGUES,SMITHOMAZ,MMDASILVA,NRFERNANDES,DROGLIO,EMMFILHO,RCAVANHOLI,MIPZIMMERMANN,RRZDASILVA,TMBATISTA,SDMARCOS,MGUEDES,LFUHR,APPEREIRA,YCOSTA,ILIMA,PMFINARDI,VAGUIAR,MMARTINS,TBMEDEIROS,MAZEVEDO,LCLAGO,SAKOERICH,BCCORTES,MROSA,LDECKER,RKRAUS,DASILVA,KCIPRIANI,GJMOZZER,TLSANTOS,SFPEREIRA,BLEIRIA,KSANHAIA,VASMAFIOLETTI,RFERNANDES,SFLUZ,FEMSANTOS,YFERREIRA,LRGREGORIO,ACERVI,OBOING,ALIGARAUJO,LMDSANTOS,MVALERIO,GNDASILVA,MSCOSTA,LAVILLA,AMKOCH,FCOLLET,TRAMIRES,CLCCOSTA,IMCKOCHE,SLKRAESKI,ABSSOUZA,BFGONZAGA,MHULLER,LHSAAR,VPARGENDLER,EZANFERRARI,AVPEREIRA,TRECH,LEMPEREIRA,NMGODINHO,FLISBOA,SGA,TCRAIMUNDO,RGPINHEIRO,FREGIS,SRIGOTTI,LMSANTOS,JMMZEFERINO,ISA,HMARTINELLI,JMBARRETO,TCAPISTRANO,AGARAUJO,FBRITO,SSAMORIM,SKOCH,JBOMBASAR,LBUSS,JCCONRADO,RSCHIEFLER,FGREGUI,DCHEINECK,CSILVANO,LFROSA,MSARTOR,RELUZ,ENBRAS,WDACPARRELLA,RDAROS,TGBETIO,VRCASTRO,SELIAS,AMOLIVEIRA,JFONTOURA,MBATTIATO,MMONGUILHOTT,GMERIZE,ISILVEIRA,AVOLIVEIRA,FLCHAVES,FCOMIN,ISNUNES,MFTONINI,MGHENRIQUE,RCARLESSO,JJESKE,BSCUNHA,TBOSCHINI,SAMSILVA,MLIMA,SSIPRIANO,DBRISTOT,BNOSOL,SNORONHA,MCONCEICAO,RSDEMELO,RRAMOS,RGRUMICHE,RZEFERINO,LHNUNES,GDDASILVA,GCORREGGIO,JAPARECIDA,IAFACINI,PWBRAMONT,GFRANZONI,RPTDAVILA,FWESTPHAL,EAFORTES,RAOLIVEIRA,JOFERNANDES,FCORAL,LFIGUEIRO,FKSOUZA,CSMATOS,RSEIFFERT,VACSOUZA,FISILVA,SZALVES,JROMAN,LHTHIESEN,MWALETE,PRSOUZA,AGSILVEIRA,MAYRAS,KPRIM,CSILVEIRA,IZAFFONATO,AAALMEIDA,MCOLSEN,PSSILVEIRA,JMENDES,BCOLPANI,GMAY,AWILBERT,JROSARIO,RMARIA,PALLEBRANDT,MCVIEIRA,HCOUTINHO,SSCOUTINHO,LLSILVA,KASSUNCAO,MLSERPA,FADESDACUNHA,APISANI,TRROCHA,DSEEMANN,MGSILVA,GLDAROS,RRMORAES,EBIAZIN,MRROSA,TDASILVEIRA,SPIRES,JCOMIM,JANAINA,MGATELLI,LPASCOAL,FRRODRIGUES,AASILVA,AJUMES,CSOLIVEIRA,DBERGMANN,RNSTIPP,ALONGO,MDACOREGGIO,JPERING,CHRISTIAN,RDEVANGELISTA,NLORENZ,DCUNHA,JSBVILAIN,MMVALE,TGBARROS,RHSOUZA,CAMILADEOLIVEIRA,MGROSSL,LMARTINS,MMBERNARDINO,CRSANTOS,EVIECELI,CESTEIL,JACOSTA,GSILVEIRA,GMROSA,LVIEIRA,LKEMPNER,MWINTER,CVICENTE,IANNES,ADRIANO,OZANCHI,ROPIRES,AGRAZIOTIN,EGOULART,OCIOFFI,CBOSCHETTO,SOBIERAJSKI,CSIQUEIRA,JMORIGUTI,JBOTEGA,RHOFFMANN,AFERRAZ,EMENDES,TDDESOUZA,LMIGUEL,JKSILVA,LRDUARTE}
@attribute CDSETORORIGEM {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,73,83,84,87,90,92,93,225,234,238,310,429,459,498,589,613,633,718,748,769,775,776,778,782,789,790,862,990,992,993,994,997,1006,1017,1026,1061,1065,1072,1095,1205,1235,1249,1308,1519,1537,1539,1561,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1978,1987,1996,2000,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2127,2128,4732,5221,5893,5895,5898,5899,5901,5902,5932,5944,5957,5984,6020,6027,6029,6064,6065,6074,6080,6128,6205,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}
@attribute CDSETORDESTINO {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,83,84,87,90,92,93,225,230,238,310,429,431,436,459,498,524,589,613,633,748,775,776,778,782,789,790,862,994,997,1006,1017,1308,1519,1537,1539,1562,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1881,1978,1987,1996,2000,2002,2004,2006,2008,2010,2012,2014,2018,2127,2128,2290,4732,5221,5287,5307,5893,5895,5899,5901,5902,5932,5944,5953,5957,5984,5986,6020,6027,6029,6062,6065,6080,6089,6103,6121,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}

@data
110,51,51,AHSANTOS,1537,2002
110,51,51,SRPATRICIO,6027,7
110,51,51,AGARAUJO,51,2002
110,51,51,AHSANTOS,7,1537
110,51,51,NELIZA,6027,51
115,2006,2006,LJACQUES,2006,50
94,50,7,MMANDRADE,7,50
94,50,7,LJACQUES,50,2004
97,1537,7,AHSANTOS,1537,51
97,1537,7,LFUHR,10,1537
6,1537,7,ISRICARTE,2012,2010
6,1537,7,DDURIEUX,2010,1537
2,6230,50,SRPATRICIO,7,50
2,6230,50,SRPATRICIO,7,7
17,2006,2006,MIPZIMMERMANN,2006,50
97,6216,51,AMKOCH,5901,92
6,2010,7,TCRAIMUNDO,2010,1537
6,2010,7,MMANDRADE,7,2010
80,1,7,SRPATRICIO,7,6029
110,51,51,MSCOSTA,5895,51
110,51,51,NELIZA,7,5895
110,51,51,MMANDRADE,7,51
29,1791,1791,MMANDRADE,7,1791
29,1791,1791,VAGUIAR,1791,7
16,50,7,SRPATRICIO,4732,7
110,51,51,TLSANTOS,5901,92
80,50,7,APPEREIRA,6029,7
79,1537,7,JSOUZA,7,6027
29,7,7,SDMARCOS,633,1791
29,7,7,SRPATRICIO,7,1791
29,7,7,SRPATRICIO,7,7
80,1539,7,JSOUZA,7,5221
10,50,7,SDCARDOSO,2010,2004
10,50,7,MTCESCONETO,633,50
10,50,7,ISRICARTE,2012,2004
10,50,7,AACASTRO,2004,7
7,6029,7,NELIZA,1537,6027
44,10,10,NELIZA,1537,10
101,10,7,LFUHR,10,2018
101,10,7,NELIZA,7,10
110,51,51,AVPEREIRA,2002,92
91,6227,2002,LRGREGORIO,51,6080
89,50,7,MCARVALHO,92,2012
89,50,7,SLKRAESKI,53,6029
89,50,7,LJACQUES,50,2012
97,6216,51,BBROGNOLI,5901,92
93,50,50,LJACQUES,50,7
89,7,7,LJACQUES,50,2012
89,7,7,ISRICARTE,2012,50
110,51,51,MCARVALHO,92,5901
17,2004,2004,EKZAPPELINI,50,2004
110,51,2002,NRFERNANDES,2002,1537
110,51,2002,NELIZA,1537,51
10,50,7,VASILVA,2004,2010
10,50,7,ISRICARTE,2012,2004
7,10,7,SRPATRICIO,7,10
7,10,7,MGUEDES,10,2018
89,50,7,SRPATRICIO,7,50
110,51,2002,NRFERNANDES,2002,1537
89,50,7,MMANDRADE,7,50
89,50,7,SLKRAESKI,53,2012
89,50,7,APPEREIRA,6029,7
89,50,7,LJACQUES,50,6230
7,50,7,APPEREIRA,6029,50
21,50,50,JSOUZA,7,7
16,6029,7,VAMARAL,10,6029
16,6029,7,MMANDRADE,7,10
7,6083,7,VAMARAL,10,6080
16,50,7,LJACQUES,50,2004
91,2008,2002,NELIZA,1537,6027
7,2006,2006,SAKOERICH,2004,2006
3,50,7,MMANDRADE,7,6029
89,50,7,LJACQUES,50,53
23,2004,2004,SAKOERICH,2012,2004
20,7,7,MMARTINS,50,2004
80,1,7,BVIEIRA,6080,60
80,1,7,NELIZA,7,53
80,1,7,ILIMA,92,53
110,51,51,MMANDRADE,1537,1
110,51,51,LCLAGO,2002,92
110,51,51,HVMAZZOLA,51,1537
110,51,51,SDMARCOS,633,2002
110,51,51,GERSON,7,5895
110,51,51,NELIZA,7,51
110,51,51,HVMAZZOLA,51,1537
110,51,51,NELIZA,1537,6027
110,51,51,NELIZA,1537,51
110,51,51,ESARMENTO,53,5901
110,51,51,FPGCOSTA,51,7
110,51,51,SRPATRICIO,7,51
80,1,7,AMOLIVEIRA,1,7
39,1539,7,NELIZA,7,1539
98,7,7,ACERVI,2002,1788
98,7,7,RMARTENDAL,1788,51
24,2004,2004,WBALSAMO,50,2004
24,2004,2004,NELIZA,7,50
80,1,7,SRPATRICIO,1,7
44,10,10,MGUEDES,10,2018
3,50,7,APPEREIRA,6029,50
10,50,7,LJACQUES,50,2004
10,2004,2004,REBSOUZA,633,50
7,10,10,LJACQUES,50,10
7,10,10,REBSOUZA,633,50
80,7,7,JSOUZA,7,498
4,6230,6230,NELIZA,7,6029
23,6227,2004,LJACQUES,50,7
23,6227,2004,NELIZA,1537,50
6,2012,6230,MMANDRADE,7,6029
44,10,10,GNDASILVA,5893,2018
17,2006,2006,FEMSANTOS,2004,2006
101,10,7,LFUHR,10,6080
110,51,51,FPGCOSTA,51,5901
110,51,51,NELIZA,6027,51
110,51,51,MMANDRADE,7,51
110,51,51,GERSON,51,7
110,51,51,MSCOSTA,5895,51
110,51,51,HVMAZZOLA,51,7
10,50,7,LJACQUES,50,2004
101,6029,7,BVIEIRA,6080,10
44,10,10,VAMARAL,2018,10
20,50,7,SRPATRICIO,7,50
10,50,7,SDMARCOS,633,50
7,10,10,WDACPARRELLA,10,633
7,10,10,SDMARCOS,633,10
7,10,10,WDACPARRELLA,10,633
7,10,10,WDACPARRELLA,10,633
106,7,7,MMANDRADE,7,7
89,53,50,MSARTOR,2012,50
89,53,50,ISRICARTE,2012,2004
89,50,7,MMARTINS,50,2012
110,51,51,GERSON,51,5895
110,51,51,MSCOSTA,5895,7
110,51,51,MSCOSTA,5895,7
110,51,51,NELIZA,1537,53
110,51,51,GERSON,51,1537
110,51,51,YCOSTA,6214,5895
110,51,51,MMANDRADE,5895,51
110,51,51,NELIZA,7,51
97,1788,51,FPGCOSTA,51,5901
110,51,51,HVMAZZOLA,51,5901
110,51,51,LCLAGO,2002,1537
110,51,51,FKSOUZA,1788,51
17,50,7,CLCCOSTA,2012,2004
17,50,7,MMANDRADE,7,2012
97,1996,1996,JBOMBASAR,1996,6080
89,50,7,MCARVALHO,53,2012
80,1,7,AMOLIVEIRA,1,6080
20,7,7,BVIEIRA,6080,1996
20,7,7,LJACQUES,50,7
3,1,7,APPEREIRA,6029,50
3,1,7,SRPATRICIO,7,6029
19,50,7,LAVILLA,7,6029
79,1537,7,NELIZA,1537,51
94,50,7,SRPATRICIO,7,50
29,1791,7,REBSOUZA,633,1791
10,2004,2004,AACASTRO,2004,633
10,2004,2004,MTCESCONETO,633,50
89,2012,50,LJACQUES,50,633
89,2012,50,LJACQUES,50,53
10,7,7,SRPATRICIO,7,7
10,7,7,MMANDRADE,7,50
10,7,7,FLCHAVES,2006,7
10,7,7,LJACQUES,50,2006
1,50,7,LJACQUES,50,7
89,50,7,LJACQUES,50,2012
89,50,7,YFERREIRA,50,633
110,51,51,HVMAZZOLA,51,5895
110,51,51,HVMAZZOLA,51,5895
89,50,7,MTCESCONETO,633,50
110,51,1996,MSCOSTA,5895,51
110,51,1996,FPGCOSTA,51,5895
7,2006,2006,SAKOERICH,2004,2006
7,10,7,LAVILLA,7,6029
7,10,7,LJACQUES,50,2004
17,2006,2006,LJACQUES,50,2006
17,2006,2006,JTRES,2006,50
17,2006,2006,LJACQUES,50,7
19,50,7,LJACQUES,50,2004
44,1996,1996,SRPATRICIO,1,6027
29,1791,1791,MMANDRADE,6027,7
29,1791,1791,JSOUZA,7,1791
96,1791,1791,SRPATRICIO,7,1791
39,1539,7,NELIZA,1539,7
110,51,51,ACERVI,2002,51
110,51,51,NELIZA,1537,6027
110,51,51,MTCESCONETO,633,2002
79,1537,7,CSMATOS,1788,1537
16,50,7,LJACQUES,50,2004
16,50,7,SAKOERICH,2004,7
10,50,7,VASILVA,2012,2004
110,2002,2002,MMANDRADE,6027,7
91,1978,2002,LCLAGO,2002,1
7,10,10,VASMAFIOLETTI,10,5893
39,1539,7,SRPATRICIO,1539,7
97,1788,51,NELIZA,1537,2002
97,1788,51,FPGCOSTA,51,2002
89,50,7,RKRAUS,2012,50
7,50,7,MMANDRADE,7,7
7,50,7,LJACQUES,50,7
10,50,7,VASILVA,7,2004
6,2010,7,DDURIEUX,2010,1537
6,2010,7,NELIZA,7,2010
7,10,10,SRPATRICIO,7,7
7,10,10,LFUHR,10,7
10,2004,2004,LJACQUES,50,2004
16,50,7,MMANDRADE,7,6029
97,6216,51,AMKOCH,5901,1006
89,6029,7,MTRICHARTZ,6029,50
89,6029,7,LJACQUES,53,50
89,1537,7,MMANDRADE,7,6029
4,6230,6230,PPASSOLD,50,6230
10,7,7,SRPATRICIO,7,50
10,7,7,SAKOERICH,2004,50
5,2010,2010,MMANDRADE,7,50
80,1,7,JSOUZA,7,524
89,50,7,APPEREIRA,6029,7
79,1537,7,MMANDRADE,7,6027
79,1537,7,SRPATRICIO,6027,7
79,1537,7,HVMAZZOLA,51,1537
79,1537,7,NMGODINHO,51,5901
94,7,7,MTCESCONETO,633,50
94,7,7,ISRICARTE,2012,2004
89,50,7,ILIMA,53,6029
15,2004,2004,SDMARCOS,633,50
15,2004,2004,VASILVA,2004,2012
110,51,51,JCCONRADO,5901,92
110,51,51,NELIZA,6027,51
41,1,7,MAZEVEDO,5932,3
110,51,51,SRPATRICIO,7,51
110,51,51,NELIZA,1537,51
110,51,2002,BLEIRIA,2002,92
110,51,2002,BBRIBEIRO,2002,5901
110,51,2002,AGARAUJO,51,2002
110,51,2002,SSAMORIM,2002,5901
110,51,2002,ACFREITAS,5901,7
20,2006,2006,NELIZA,7,50
20,2006,2006,JTRES,2006,50
102,7,51,LRGREGORIO,51,7
20,50,50,LJACQUES,50,2006
110,51,51,PVCOSTA,1006,5901
110,51,51,DROGLIO,5901,53
39,1539,7,MMANDRADE,7,1539
89,50,7,MMANDRADE,7,50
89,50,7,MCARVALHO,92,2012
110,51,51,ACERVI,2002,51
110,51,51,FPGCOSTA,51,2002
78,7,7,MMANDRADE,7,50
110,51,51,SRPATRICIO,7,5895
10,7,7,LJACQUES,50,633
10,7,7,SDCARDOSO,2010,2004
109,7,7,LJACQUES,50,2012
109,7,7,APPEREIRA,6029,50
10,7,7,LJACQUES,2004,50
80,1,7,JSOUZA,7,2290
89,6029,7,SRPATRICIO,7,1
89,6029,7,JSOUZA,7,50
89,6029,7,RKRAUS,50,53
89,6029,7,SFLUZ,7,50
89,6029,7,LJACQUES,50,53
3,1,7,APPEREIRA,6029,7
2,50,50,WBALSAMO,50,2004
80,1,7,NELIZA,1537,7
80,1,7,LJACQUES,50,2012
23,2004,2004,SMITHOMAZ,2012,2004
101,10,10,EMMFILHO,5893,10
89,50,7,APPEREIRA,6029,7
89,50,7,LJACQUES,50,2012
89,50,7,MMANDRADE,7,50
89,50,7,ILIMA,53,6029
89,50,7,MMANDRADE,7,50
89,50,7,MIPZIMMERMANN,50,2012
89,50,7,APPEREIRA,6029,53
80,1537,7,LJACQUES,50,7
89,50,7,HMARTINELLI,6029,7
7,10,2004,REBSOUZA,633,10
7,10,2004,ISRICARTE,2012,50
44,1996,1996,JBOMBASAR,1996,1537
44,1996,1996,RSEIFFERT,1996,59
7,10,10,LFUHR,10,2018
7,10,10,SRPATRICIO,7,6027
16,50,7,MROSA,53,50
10,2004,2004,AACASTRO,50,2010
39,1,7,SRPATRICIO,1539,7
91,1,7,AMOLIVEIRA,1,7
110,51,51,CRODRIGUES,2002,633
110,51,51,ACFREITAS,51,5895
97,1788,51,ACERVI,2002,92
89,50,7,ABSSOUZA,6230,53
5,2010,2010,DDURIEUX,2010,50
23,6227,2004,VASILVA,2004,7
110,51,51,LCLAGO,2002,51
110,51,51,ACERVI,2002,633
110,51,51,MCARVALHO,92,2002
110,51,51,TRAMIRES,2002,633
108,6230,50,SRPATRICIO,7,6029
108,6230,50,ISRICARTE,2012,50
80,6080,6080,TGBETIO,6080,3
17,2004,2004,VASILVA,2004,7
110,51,2002,AGARAUJO,51,2002
110,51,2002,NELIZA,1537,6027
91,6227,2002,NELIZA,7,6080
91,6227,2002,PREMOR,6080,2002
97,1788,51,AGARAUJO,51,2002
89,50,7,LMDSANTOS,7,50
20,50,7,TBMEDEIROS,2004,2010
20,50,7,WBALSAMO,50,2004
41,6080,6080,BVIEIRA,2,6080
20,7,7,MMARTINS,50,7
89,50,7,SRPATRICIO,7,50
89,50,7,LJACQUES,50,2012
80,7,7,MMANDRADE,7,7
80,7,7,SRPATRICIO,7,1791
73,1996,1996,BVIEIRA,6080,1
80,7,7,SRPATRICIO,5957,7
19,50,7,APPEREIRA,6029,50
19,50,7,MMANDRADE,6029,7
39,1539,7,SRPATRICIO,7,1539
39,1539,7,NELIZA,1539,7
110,51,51,AVPEREIRA,2002,633
110,51,51,MHULLER,5901,2002
110,51,51,SRPATRICIO,7,51
110,51,51,ACFREITAS,51,2002
110,51,51,AVPEREIRA,2002,5901
110,51,51,NELIZA,1537,51
20,50,7,JTRES,2006,50
20,50,7,ILIMA,53,7
20,50,7,LJACQUES,50,2006
94,50,7,LJACQUES,50,7
94,50,7,MMANDRADE,7,50
94,50,7,LJACQUES,50,2004
94,50,7,MMARTINS,50,2006
89,50,7,MCARVALHO,53,2012
7,10,10,JAPARECIDA,6211,10
7,6029,7,MMANDRADE,7,50
7,50,50,LFUHR,10,7
7,10,10,GNDASILVA,2018,5893
7,10,10,GNDASILVA,5893,2018
6,2010,2010,LJACQUES,50,2010
70,1537,7,NELIZA,1,7
110,51,51,NELIZA,51,6214
110,51,51,MSCOSTA,5895,51
110,51,51,NELIZA,7,51
110,51,51,SRIGOTTI,5895,6220
110,51,51,NELIZA,7,5895
110,51,51,YCOSTA,5895,7
4,6230,50,JSOUZA,7,7
4,6230,50,MMARTINS,50,2004
20,50,7,JTRES,2006,50
20,50,7,RRZDASILVA,50,2006
100,1537,7,DASILVA,1,7
7,10,10,LJACQUES,50,10
44,1996,1996,JBOMBASAR,1996,59
78,1,7,SRPATRICIO,7,6029
78,1,7,LJACQUES,50,6029
78,1,7,LJACQUES,50,7
44,1996,1996,KSANHAIA,1996,1537
23,50,7,NELIZA,1537,50
7,10,10,WDACPARRELLA,10,633
29,7,7,VAGUIAR,1791,633
29,7,7,REBSOUZA,633,1791
89,50,7,ILIMA,53,6029
89,50,7,MCARVALHO,53,2012
110,51,51,AHSANTOS,1537,51
110,51,51,FPGCOSTA,51,633
110,51,51,ACFREITAS,5901,1006
110,51,51,SRPATRICIO,1537,6027
110,51,51,YCOSTA,51,5901
110,51,51,YCOSTA,51,5901
110,51,51,ACFREITAS,51,1006
110,51,51,MTCESCONETO,633,1
110,51,51,LRGREGORIO,51,1537
23,6227,2004,SAKOERICH,2004,50
23,6227,2004,LJACQUES,50,7
23,6227,2004,VACSOUZA,7,1537
97,6216,51,ACERVI,2002,92
97,6216,51,NELIZA,1537,1
97,6216,51,MCARVALHO,92,2002
97,6216,51,HVMAZZOLA,51,1537
97,6216,51,MMANDRADE,7,51
7,10,10,ISRICARTE,633,2012
7,10,10,ISRICARTE,2012,50
44,10,10,EMMFILHO,5893,2018
20,2006,50,JTRES,2012,2006
20,2006,50,SFLUZ,7,50
20,2006,50,JTRES,2006,7
20,2006,50,LJACQUES,50,2012
3,7,7,VPARGENDLER,6230,50
3,7,7,LFUHR,10,7
79,1537,7,HVMAZZOLA,51,5901
49,53,7,MMANDRADE,7,92
110,51,51,NELIZA,7,5895
110,51,51,MSCOSTA,5895,790
110,51,51,RELUZ,1006,5901
110,51,51,JCCONRADO,5901,1006
1,50,7,NELIZA,7,6029
80,1,7,NELIZA,6027,2002
29,7,7,MMANDRADE,7,1791
29,7,7,SRPATRICIO,7,1791
71,2004,2004,LCAVALLERI,2012,50
101,10,10,MGUEDES,10,5893
91,1,7,NELIZA,7,6027
91,6227,2002,MMANDRADE,7,2002
80,6080,6080,MAZEVEDO,1,5932
97,1996,1996,BVIEIRA,6080,1
78,1539,7,JSOUZA,7,498
91,62,7,MGHENRIQUE,2002,51
3,6029,7,NELIZA,2,7
97,1788,51,HVMAZZOLA,51,1537
97,1788,51,HVMAZZOLA,51,1537
97,1788,51,BBRIBEIRO,2002,633
97,1788,51,MMANDRADE,6027,51
97,1788,51,MCARVALHO,92,2002
97,1788,51,ESARMENTO,92,2002
91,35,7,MGHENRIQUE,2002,51
7,1,7,ALIGARAUJO,6029,7
89,50,7,LJACQUES,50,53
80,50,7,MMANDRADE,7,7
89,50,50,MMANDRADE,7,7
89,50,50,LJACQUES,50,2012
10,1,2004,LJACQUES,50,633
7,10,10,SDMARCOS,633,50
80,1539,7,NELIZA,7,1539
7,10,10,EMMFILHO,5893,2018
115,50,7,LJACQUES,50,7
115,50,7,JTRES,2006,50
96,1791,1791,SDMARCOS,633,1791
96,1791,1791,MMANDRADE,7,7
20,7,7,LJACQUES,50,2004
110,51,1996,MTCESCONETO,633,1996
110,51,1996,MTCESCONETO,633,1996
110,51,1996,SRPATRICIO,1537,6027
110,51,1996,BVIEIRA,6080,1
110,51,1996,KSANHAIA,1996,1537
110,51,1996,MCARVALHO,53,1996
19,50,7,MMANDRADE,7,6029
29,7,7,MMANDRADE,7,1791
80,33,7,MMANDRADE,33,7
89,6029,7,APPEREIRA,6029,7
10,2004,2004,VASILVA,2004,50
10,2004,2004,VASILVA,2004,2012
16,6029,7,NELIZA,7,6029
6,2010,2010,MMDASILVA,2010,1537
80,1537,7,NELIZA,6027,2002
110,51,51,VRCASTRO,92,5901
39,1540,7,SRPATRICIO,7,1539
15,50,7,LJACQUES,50,633
3,50,7,MMANDRADE,6029,7
110,51,1996,KSANHAIA,1996,7
110,51,1996,CDSILVA,1996,6080
79,1537,7,SRPATRICIO,7,6027
39,1539,7,JSOUZA,6029,7
89,50,7,LJACQUES,50,53
110,51,51,LCLAGO,2002,51
110,51,51,NELIZA,6027,51
110,51,51,YCOSTA,5895,51
110,51,51,SFPEREIRA,51,7
79,1537,7,NELIZA,7,6027
110,51,51,NELIZA,7,5895
110,51,51,YCOSTA,5895,2002
110,51,51,FCOLLET,790,5895
110,51,51,TRAMIRES,2002,1537
44,1996,1996,ISILVEIRA,1996,1
44,1996,1996,ISILVEIRA,1996,1
89,50,7,LCAVALLERI,2012,53
17,2006,2006,LJACQUES,50,7
39,1539,7,NELIZA,7,1539
110,51,1996,SKOCH,1996,1537
110,51,1996,JBOMBASAR,1996,92
23,2004,2004,SMITHOMAZ,2012,2004
110,51,51,FPGCOSTA,51,7
110,51,51,MSCOSTA,5895,51
110,51,51,MCARVALHO,92,2002
110,51,51,GERSON,51,83
110,51,51,AVPEREIRA,2002,1006
44,1996,1996,JBOMBASAR,1996,6080
44,1996,1996,BVIEIRA,6080,1996
89,50,7,ISRICARTE,50,2012
89,50,7,ILIMA,53,6029
97,1996,1996,BVIEIRA,6080,1
94,1537,7,NELIZA,1537,7
94,1537,7,NELIZA,7,53
94,1537,7,MSARTOR,2012,50
16,6029,7,NELIZA,7,6029
16,50,7,APPEREIRA,6029,50
110,51,51,AGARAUJO,51,2002
110,51,51,SRIGOTTI,5895,1791
16,6029,7,MMARTINS,50,2004
89,50,7,MROSA,53,92
10,2004,2004,TBMEDEIROS,2004,50
110,51,51,AHSANTOS,6027,1537
89,6029,7,APPEREIRA,6029,7
89,6029,7,MMANDRADE,7,6029
2,6230,6230,VPARGENDLER,6230,7
10,50,7,SAKOERICH,2004,7
29,1791,1791,SDMARCOS,633,1791
29,1791,1791,SDMARCOS,1791,633
29,1791,1791,SDMARCOS,633,1791
2,6230,50,NELIZA,7,1537
89,1,7,SRPATRICIO,7,2012
80,7,7,ISRICARTE,2012,50
29,7,7,MMANDRADE,7,7
19,50,7,ALIGARAUJO,6029,50
19,50,7,PPASSOLD,50,2004
23,6227,2004,LJACQUES,50,2004
20,7,50,JTRES,2006,2004
20,7,50,JTRES,2004,2006
17,7,50,JTRES,2006,50
17,7,50,MMANDRADE,7,7
44,1996,1996,JBOMBASAR,1996,6080
44,1996,1996,KSANHAIA,1996,59
17,2006,2006,LJACQUES,50,7
17,2006,2006,LJACQUES,7,50
17,2006,2006,LJACQUES,50,2006
17,2006,2006,LJACQUES,50,2004
10,50,7,AACASTRO,2004,2012
10,50,7,ISRICARTE,2012,2004
80,1,7,DASILVA,1537,6080
10,2004,2004,SDCARDOSO,2010,2004
110,51,51,YCOSTA,51,2002
110,51,51,LAVILLA,7,51
110,51,51,NELIZA,7,6027
44,10,10,ALIGARAUJO,6029,10
89,50,7,APPEREIRA,6029,7
79,1537,7,MCARVALHO,53,2002
29,7,7,MMANDRADE,7,1791
10,50,7,MMANDRADE,2004,7
102,1537,7,MMANDRADE,1537,2002
102,1537,7,HVMAZZOLA,51,2002
102,1537,7,BBRIBEIRO,2002,1537
110,51,51,MCARVALHO,92,93
29,1791,1791,SRPATRICIO,7,6214
80,6080,7,SRPATRICIO,7,6080
2,6230,6230,SRPATRICIO,7,50
2,6230,6230,LJACQUES,50,2004
7,10,10,SDMARCOS,633,10
80,1,7,LMSANTOS,10,1
10,50,7,LJACQUES,50,2004
80,7,7,MGUEDES,10,2018
44,10,10,EMMFILHO,5893,2018
7,2006,2006,ISRICARTE,2006,2012
94,50,7,SDMARCOS,633,50
2,50,50,LJACQUES,50,2004
114,50,7,WBALSAMO,6230,50
114,50,7,NELIZA,1,7
114,50,7,LJACQUES,50,7
